OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
1,82,53,89,62,19,42,0,22.63,12,17,19,15,14.9,12.4,10.7,40.2,41.5,3.5,13460.21817,8807436.426
2,82,53,80,70,26,44,0,46.83,52,57,19,15,8.9,21,20.5,60.4,12.3,3.2,7917.036802,3330251.094
3,82,43,28,70,0,38,0,33.43,31,31,19,21,8.5,18.9,12.3,69.4,12.3,3.1,14017.22185,10700863.76
4,82,53,28,70,0,45,0,46.83,52,57,23,15,9.7,15.3,23.2,51.1,17.7,2.8,5250.161446,1461149.232
5,82,53,23,70,0,46,22,46.83,52,57,24,28,10.6,13.7,24,47.3,20.7,3.4,6222.394919,1910700.603
6,78,43,14,65,0,28,75,51.04,58,46,11,30,9.6,18.3,11.2,70.4,10.5,4,15819.03724,6068196.324
7,82,53,28,66,0,44,72,53.22,60,50,40,22,8.6,19.2,17.8,61.1,13.5,3.4,8734.322779,3028330.183
8,82,53,30,70,0,45,41,48.26,54,41,65,83,15.1,9,54.4,24.2,12,2.4,6169.751699,1684400.329
9,82,53,49,70,0,46,56,43.68,47,34,74,65,14.3,11.8,55,23.8,15.7,1.8,6202.869526,1493863.408
10,78,43,8,45,0,23,44,50.35,57,52,30,51,9.2,11.8,13.3,74.8,3.9,4.4,10684.44183,2098585.76
11,82,43,24,66,0,45,27,46.82,52,57,49,26,9.2,17.5,16.1,56.8,17.8,3.9,13455.04022,6965807.451
12,82,53,60,70,0,57,59,44.99,49,52,33,24,10.1,16.6,29.1,50.4,14.4,2.4,11448.4148,5985240.396
13,82,53,60,70,0,48,0,46.83,52,57,49,60,11.2,7.8,33,38.2,20,3.1,5046.927279,1540276.543
14,82,53,60,70,0,51,71,35.68,35,23,65,72,14.2,6.7,52,23.1,13.3,2.6,7982.419387,3235378.138
15,82,53,45,70,0,49,43,51.76,59,62,70,53,12.8,9.3,42.2,31.6,17.6,2.9,6695.67317,2230552.76
16,82,53,44,70,10,47,24,45.7,51,39,93,86,16.2,5.4,75.4,8.9,12.1,0.9,4492.274461,856829.3721
17,82,53,44,70,17,47,9,63.65,73,85,80,72,14,8.4,61,18.2,15.3,2.1,5040.94579,1104738.537
18,82,53,44,70,0,48,25,63.65,73,85,66,53,12.5,13.9,42,33.5,17.7,2,6434.835594,1553217.518
19,82,53,44,70,0,47,62,48.45,54,46,68,36,15,9.8,54.5,27.6,13.5,1.8,6072.196797,2148161.566
20,82,53,30,70,0,45,67,62.27,71,65,30,28,11.2,13.9,22.8,54.4,15.3,4.4,5616.95465,1913120.614
21,82,53,30,70,58,46,73,45.23,50,41,65,37,11.9,13.5,35.3,42.4,15.6,3.6,6347.875363,2328580.5
22,82,53,30,70,0,46,46,51.56,58,45,49,55,11.7,19.5,28.3,46,18.6,2.7,4997.296984,1489459.075
23,82,53,30,70,0,46,38,62.27,71,65,96,94,18.6,4,77.6,8.6,10.1,1.1,2990.298164,525161.9705
24,82,53,30,70,0,46,54,33.3,31,13,42,55,15.2,9.1,44.5,26.6,17.5,2.7,3808.671865,906306.3165
25,78,53,12,70,0,44,2,34.99,33,26,18,7,11.6,17.1,8.4,73.6,11.8,4.4,7129.714304,3133122.21
26,82,53,30,70,43,45,50,34.48,32,23,24,16,11.1,15.5,16,61.7,16,2.8,9425.311399,3442244.4
27,82,53,30,70,0,44,59,56.87,65,56,9,16,9.8,18.7,12.3,67.4,14.4,3.3,6829.022659,2303784.726
28,78,43,8,61,0,34,0,52.49,60,49,6,0,8.9,11.7,6.7,71.5,16.5,3.6,10078.24123,5431784.708
29,82,53,36,70,0,47,79,63.55,73,72,84,79,16.2,7.3,72.8,14.6,7.7,2,4855.908008,1417336.693
30,82,53,44,70,0,47,29,60.99,70,67,93,90,18.9,2.2,90.2,5.2,2.8,0.9,3035.621507,520193.5154
31,82,53,32,70,0,46,54,63.55,73,72,77,88,17.7,5,70,15.5,7.7,1.7,3801.222826,905018.1881
32,82,53,44,70,15,48,0,63.65,73,85,83,86,16.8,5.6,69,14,11.7,2,3658.063704,830745.6751
33,82,53,68,70,80,47,78,36.4,36,23,52,68,11.9,3.3,39.2,30.5,18,3.7,3877.30608,829792.3423
34,82,53,67,70,58,48,24,53.78,61,71,73,66,14.1,9.8,54.5,29.5,9.4,2.3,5766.187137,1518766.534
35,82,53,86,70,78,48,67,24.53,15,10,3,21,8.5,8.8,12.6,61.2,12.6,4.6,8115.706354,3795748.483
36,82,53,49,70,53,46,41,35.51,34,33,21,34,9.7,18.3,17.5,64.3,10.6,3.9,6999.601685,2454821.991
37,82,53,43,70,61,47,80,43.28,47,35,39,35,10.8,12.4,23.3,58.3,10,3.9,4943.528796,1519118.915
38,82,53,58,70,81,47,15,40.24,42,54,12,16,11.9,10.3,13.6,52.5,19.1,5,4802.668487,941504.0674
39,82,53,67,70,82,47,73,25.61,17,8,20,55,9.5,16.7,12.7,51.2,26.7,4.1,6696.333876,1854186.279
40,82,53,50,70,23,46,22,38.24,39,42,17,33,11.3,18.4,14.5,67.9,11.1,3.1,6857.202992,2239356.009
41,78,53,50,70,0,45,22,35.92,35,36,16,14,10.9,15.7,15.5,67.1,10.9,3.5,6580.27637,2585137.363
42,78,53,9,60,0,44,22,35.6,35,34,19,27,10.6,16.4,12,70.3,12,3.7,12312.33055,6589747.525
43,82,53,71,70,77,48,65,40.24,42,54,14,18,8.8,12.5,11.7,61.4,16,4.8,4363.067898,1116204.847
44,82,53,86,70,69,48,75,40.24,42,54,10,21,10,20.7,9.1,77.1,5.3,5.6,8634.586301,3750784.632
45,82,53,58,70,55,47,59,34.51,33,39,24,31,11.2,13.9,13.7,64,12.4,4.4,7094.56037,2911416.462
46,78,53,58,70,11,46,4,40.24,42,54,17,11,10.7,16.8,7.5,79,7.9,2.5,7459.079472,2354325.3
47,78,53,10,66,20,46,4,33.41,31,36,6,9,9.5,24.3,7.7,78.5,7.8,4.1,9217.025629,3586112.547
48,78,53,44,66,0,48,72,32.58,29,37,25,18,13.3,13.9,9.9,77.2,5.5,4.5,9734.512448,3483513.756
49,78,53,33,62,0,47,65,32.01,29,37,20,41,10,23,7.7,76.4,6.2,5,11392.53053,4520067.904
50,82,53,78,70,0,48,86,35.69,35,45,2,19,11.6,18.2,9.9,75.2,5.7,4.8,7096.532489,3059708.948
51,78,53,19,66,0,50,9,28.89,23,29,9,18,11.2,16.3,7.8,80.4,5.8,3.5,11513.15506,6537890.054
52,78,53,14,43,19,47,0,14.77,3,8,5,5,10.8,15.8,5.4,84.4,5.7,3.4,20549.15974,11842427.24
53,74,53,6,44,38,50,0,10.37,1,5,7,21,11.3,11.8,6.4,85,3.7,3.2,57640.31089,77101283.76
54,74,53,17,19,12,45,32,16.64,5,19,9,26,14.8,10.2,5.6,81.6,8,3.1,32909.92178,40052172.79
55,78,43,14,44,23,44,65,13.83,2,8,6,17,10.6,11.7,7.4,80.9,6.5,3.3,20649.73557,15214830.82
56,78,53,31,55,23,46,84,22.78,12,27,21,29,9,22.2,5.5,81.8,7.7,3.8,30940.54812,14145134.47
57,69,41,35,19,11,26,48,19.43,7,28,9,5,11.9,11.2,7.6,79.3,8.8,2.8,11865.4822,5252719.379
58,69,41,15,38,34,27,76,9.91,1,4,7,10,8.8,17,7.8,82.7,6.4,2.1,45412.70872,61552549.85
59,74,41,19,44,12,25,0,21.17,9,39,46,39,10.7,11,16.4,71.9,6.7,3,14012.61972,8312802.454
60,74,43,10,19,7,30,4,18.44,6,26,15,19,10.6,8.3,8.9,75.6,9.4,3.6,14949.60479,14356733.63
61,74,43,20,19,15,31,32,18.88,7,28,6,11,11.5,8,8.4,76.7,8.7,4,31318.01106,33035877.22
62,69,43,6,19,29,33,0,3.98,0,0,6,28,9.6,12.5,6.6,89.4,1,1.8,45101.36662,41629755.94
63,69,41,17,36,16,26,44,24.38,15,28,11,8,10.3,11,10.2,72.2,10.1,4.6,8614.076804,2790332.451
64,69,41,12,45,19,25,0,19.08,7,29,2,4,9.9,11.6,6.1,82.9,7.4,3,12605.81372,7040888.992
