ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037599100,527,Avalon,-118.4584354,32.8977598,,,,0.04,11.21,2.05,481.09,0,35.22,,67.5,95.25,0.15,1,35,42.64,5.25,49.39,,6.76,2.4,,,,,,8.9,89.2,1.9,30,65.1,0.4,0.2,2.3,2.1,,,70402,17,Young and Restless
06037108202,4895,Porter Ranch,-118.5796806,34.286095,19.63,37,35-40%,0.057,10.37,33.56,586.13,0.077,302,1473.75,0,0,0,0,2,44.22,5.45,22.63,6.68,5.4,4.8,15.2,14.2,5.5,13.9,3.6,14.9,72.7,12.4,10.7,40.2,4,0.2,41.5,3.5,4,8,1094119,134,Pacific Heights
06037113101,3558,Chatsworth,-118.5852975,34.2654115,21.17,41,40-45%,0.057,10.37,27.12,618.05,0.177,345.44,1671.05,17.6,0,0.11,0,0.4,51.29,6.32,46.83,2.67,8.46,4.9,4.1,14.3,5.4,18.2,3.35,8.9,70.1,21,20.5,60.4,3.1,0.4,12.3,3.2,5,9,530808,134,Pleasantville
06037113211,3787,Chatsworth,-118.6227865,34.2674995,18.22,34,30-35%,0.057,9.96,9.69,618.05,0,215.34,1755.14,9.7,0,0.01,11,4,48.34,5.95,33.43,4.62,6.55,4.9,2.7,17.3,6.6,15.2,3.06,8.5,72.6,18.9,12.3,69.4,2.7,0.2,12.3,3.1,4,7,816628,142,Pleasantville
06037113212,3069,Chatsworth,-118.6024313,34.2606869,20.81,40,40-45%,0.057,10.37,9.83,618.05,0,349.43,1123.76,9.7,0,0.01,0,0,38,4.68,46.83,7.22,8.46,5.8,0.7,14.3,5.3,15.4,4.45,9.7,75,15.3,23.2,51.1,4.9,0.2,17.7,2.8,5,9,466243,114,City Lights
06037113213,4316,Chatsworth,-118.6071365,34.2519958,23.72,47,45-50%,0.057,10.37,8.17,618.05,0,376.69,699.79,9.9,3,0.22,0,0,40.61,5,46.83,5.23,8.46,5.9,5.3,20.5,6.9,20.2,4.74,10.6,75.7,13.7,24,47.3,4.3,0.3,20.7,3.4,5,10,697746,159,Pleasantville
06037113231,2125,Canoga Park,-118.6502378,34.2266028,20.44,39,35-40%,0.055,9.96,5.07,610.67,0,128.91,458.7,10,23.5,0.5,0,1,40.78,5.02,51.04,3,7.63,3.2,5.3,21.6,10.9,21.2,4.07,9.6,72.1,18.3,11.2,70.4,3.7,0.1,10.5,4,4,8,365686,79,Exurbanites
06037113232,3894,Canoga Park,-118.6125452,34.225826,24.24,48,45-50%,0.057,10.37,9.74,616.56,0,346.44,962.54,10.85,21,0.72,0,0,46.94,5.78,53.22,3.95,7.93,10.1,4.9,17.6,9.4,14,4.19,8.6,72.2,19.2,17.8,61.1,4,0.2,13.5,3.4,5,10,664722,151,Exurbanites
06037113233,6655,Canoga Park,-118.6012203,34.2269621,32.55,64,60-65%,0.057,10.37,10.43,618.05,0,364.22,949.85,5,7.75,0.86,0,0,44.26,5.45,48.26,4.52,7.26,21.8,19.5,58.6,6.8,33.2,5.97,15.1,75.9,9,54.4,24.2,6.9,0.2,12,2.4,7,13,639007,251,International Marketplace
06037113234,4667,Canoga Park,-118.5939793,34.2257746,35.39,69,65-70%,0.057,10.37,16.07,618.05,0,386,1152.35,4,12.8,1.28,0,0,47.81,5.89,43.68,5.41,6.74,27.5,26.6,43.5,7,26.1,6.01,14.3,73.9,11.8,55,23.8,3.4,0.2,15.7,1.8,7,14,537561,178,International Marketplace
